id,file_no,category,created_at,updated_at
419,MSB/CB/A-1,DSI Corrrespondence,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
420,MSB/CB/A-3/3(A),Sinlung Hills Development Council/All Party Leaders Committee(APLC)/SHC,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
421,MSB/CB/A-4,Detection and Deportation of Foreigner,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
422,MSB/CB/A-5,Indo-Myanmar Border Affairs(Intelligence),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
423,MSB/CB/A-7,Enquiry against Police Officers & men,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
424,MSB/CB/A-8,Election Commission/Central Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
425,MSB/CB/A-9,"Communal Riot, etc",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
426,MSB/CB/A-10,Kidnapping/Abduction,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
427,MSB/CB/A-11,Sensitive/Hyper Sensitive pockets,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
428,MSB/CB/A-13,Law and Order,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
429,MSB/CB/A-14,Security threat perception transfer to B-19(A),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
430,MSB/CB/A-19,Meeting of DGP/IGP/DIG/SP/Governor Confidential Report,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
431,MSB/CB/A-20(A),Explosive recoveries/Bomb Explosion (Monthly Return),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
432,MSB/CB/A-21,Mizoram-Manipur Border/Paite Refugee,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
433,MSB/CB/A-23,Press clipping,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
434,MSB/CB/A-24,Detailment Order,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
435,MSB/CB/A-25,Vanawia Group (Closed),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
436,MSB/CB/A-27,News Letter (Mizoram Police),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
437,MSB/CB/A-29,Operation party killed 4(four) at Tipaimukh,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
438,MSB/CB/A-34,Bangladesh Rifles Activities/BGB,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
439,MSB/CB/A-35,Myanmar/Bangladesh Border Incident,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
440,MSB/CB/A-37,Lengpui Airport Corr. tranfer to D-2(A),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
441,MSB/CB/A-40,Special Task Force Corr. (Joint Task Force on Intl.) JTFI,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
442,MSB/CB/A-41,Indo Bangladesh Affairs,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
443,MSB/CB/A-42(B),Vehicle/Highway Robbery/Gold Bar,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
444,MSB/CB/A-43,Union Public Service Commission(UPSC) Examination affairs,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
445,MSB/CB/A-45,All India Security Suspected (AISS),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
446,MSB/CB/A-46,RAP/ILP,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
447,MSB/CB/A-50,AR Incident,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
448,MSB/CB/A-51,Misunderstanding between AR/CID(SB)/MRP/Civilian,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
449,MSB/CB/A-53,ARSON/Fire burning incident,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
450,MSB/CB/A-54,Burma Refugees,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
451,MSB/CB/A-56(A),Demcratic Party of Arakan(DPA),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
452,MSB/CB/A-59,Arakan Liberation Party(ALP)/Arakan Liberation Army(ALA)/Arakan Army(AA),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
453,MSB/CB/A-60,Chin Revolutionary Front,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
454,MSB/CB/A-62,Chin National Front(CNF)/Chin National Army(CNA),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
455,MSB/CB/A-62(A),Mara National Liberation Council,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
456,MSB/CB/A-75,Chin National Council(CNC),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
457,MSB/CB/A-75(B),Chin National Confederation,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
458,MSB/CB/A-76(A),PCJSS/Santi Bahini,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
459,MSB/CB/A-78,Santi Bahini,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
460,MSB/CB/A-78(A),United  people Democratic Front(UPDF) (Chakma Insurgent),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
461,MSB/CB/A-84,Achievements of CID(SB),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
462,MSB/CB/A-86(I),MP Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
463,MSB/CB/A-86(II),Assessment on MP/MLA Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
464,MSB/CB/A-86(III),Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
465,MSB/CB/A-86(IV),Election Result,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
466,MSB/CB/A-86(V),"Daily activity report on seizure of Narcotic drugs,Arms, explosive etc ICW Mizoram legislative Assembly 2018",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
467,MSB/CB/A-87,Communication Guideline,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
468,MSB/CB/A-88,Restructuring and strengthening of State Unit,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
469,MSB/CB/A-88(A),NIC File(National Informatic Center),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
470,MSB/CB/A-88(B),SPO,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
471,MSB/CB/A-89,Profile of candidate of MP/MLA Election,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
472,MSB/CB/A-90,National Foundation for Communal Harmony,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
473,MSB/CB/A-99,DSI Assam,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
474,MSB/CB/A-100,DSI Meghalaya,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
475,MSB/CB/A-102,DSI Arunachal,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
476,MSB/CB/A-103,DSI Manipur,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
477,MSB/CB/A-106,DSI Delhi,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
478,MSB/CB/A-107,DSI Nagaland,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
479,MSB/CB/A-109,DSI Tripura,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
480,MSB/CB/A-111,VIP Security Intelligence Digest,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
481,MSB/CB/A-111(C),Mizoram Gazette Extra-ordinary and Notification,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
482,MSB/CB/A-112,Conference of DGP/IGP/ADGP,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
483,MSB/CB/A-112(A),Quarterly meeting on situation on Home Secy/IGP(Int) w.e.f. September 2009,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
484,MSB/CB/A-113,Tour of Bangladesh delegates,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
485,MSB/CB/A-114,Harkat-Ul-Jehad Islamic(HUJI) Bangladesh miliant,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
486,MSB/CB/A-118,Correspondence on Reng/Bru refugees/Bru repatriation,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
487,MSB/CB/A-119,Census of Bru population,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
488,MSB/CB/A-120,Declaration/proposal for unlawful activities of militant,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
489,MSB/CB/A-121,Chief Minister Conference of NE(129),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
490,MSB/CB/A-125,"Corr. on persons died due to intoxication of specious liquor, etc",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
491,MSB/CB/A-128,Governor Correspondence,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
492,MSB/CB/A-129,Minister Conference,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
493,MSB/CB/A-130,Myanmar/Bangladesh Army Instrusion,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
494,MSB/CB/A-132,Terrorist related matters,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
495,MSB/CB/A-133,MLTP Act/MLP Act,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
496,MSB/CB/A-135,Census/Population of Mizoram,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
497,MSB/CB/A-137,Recommendation on good government(group of Minister)(Lead Intelligence Agency)LIA,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
498,MSB/CB/A-139,Police  Public Interface,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
499,MSB/CB/A-140,State Level Security committee(Bank)/JERC,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
500,MSB/CB/A-141,Committee on Police reforms (Criminal Justice System),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
501,MSB/CB/A-143,Mizoram Police citizen character(Right to people and Police) prepared by Mizoram Police,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
502,MSB/CB/A-144,"Instruction/Guideline on counter insurgency duties/operation, etc",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
503,MSB/CB/A-145,National Sectoral Level meeting between India and Myanmar/Bangladesh(SLSC),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
504,MSB/CB/A-148,Fencing the Mizoram along Indo-Bangladesh Border,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
505,MSB/CB/A-149,SMAC- Subsidiary Multi Agency Centre,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
506,MSB/CB/A-151,Peace Accord/MDU,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
507,MSB/CB/A-153,Encounter between MRP/SF insurgents,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
508,MSB/CB/A-155,Quarterly FP Record Slip,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
509,MSB/CB/A-156,Translation of Local Newspapers,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
510,MSB/CB/A-157,Forthnightly Security Situation Report of Mizoram State,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
511,MSB/CB/A-158,Union Territory Demand Committee,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
512,MSB/CB/A-159,Special Cell,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
513,MSB/CB/A-20,Monthly return on Explosive recoveries & Bomb Explosion,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
514,MSB/CB/A-91,Monthly return on Action Against Persons Inciting Violence Through Speech etc.,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
515,MSB/CB/A-92,Monthly return on Detection under NSA,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
516,MSB/CB/A-94,Monthly return on Infiltration of Chakma from Bangladesh into Mizoram,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
517,MSB/CB/A-95,Monthly return on Exact numbers of Bangladesh nationals staying in Mizoram,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
518,MSB/CB/A-95(A),Monthly return on Seizure of Fake Indian Currency in Mizoram State,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
519,MSB/CB/A-96,Monthly return on Indo-Bangladesh border incident,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
520,MSB/CB/A-97,Monthly return on Illegal entrance from Bangladesh other than Chakma detected push back by the State agencies,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
521,MSB/CB/A-97(A),Monthly return on Law and Order,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
522,MSB/CB/A-97(B),Weekly report on insurgency related incidents of violence (Mizoram),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
523,MSB/CB/A-112(B),Monthly return on Conference of DGP/IGP/ADGP-2015,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
524,MSB/CB/A-112(C),Monthly return on ATR of DGP/IGP Conference,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
525,MSB/CB/A-112(D),Quarterly action taken report DGP/IGP Conference  -2018 PMs Directives,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
526,MSB/CB/A-112(E),Monthly return on ATR recommendation of DGP/IGP Conference - 2018,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
527,MSB/CB/B-2,Monthly return on Special Intelligence Report to Joint Intelligence Committee,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
528,MSB/CB/B-1/FCR,FCR on activities of insurgents students of NE States,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
529,MSB/CB/B-3,Counter Intelligence Co-ordination Conference of NE States,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
530,MSB/CB/B-4,Mizoram-Cachar Border Dispute/Boundary Committee/Boundary incidents,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
531,MSB/CB/B-5/NLFT,National Liberation Front of Tripura,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
532,MSB/CB/B-6/NEC,"NEC Meeting, Steering Committee",2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
533,MSB/CB/B-9/UNLF,United National Liberation front of Manipur,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
534,MSB/CB/B-10/PREPAK,PREPAK Militant Group of Manipur,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
535,MSB/CB/B-11/NSCN,Correspondence of NSCN,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
536,MSB/CB/B-12/ULFA,Correspondence of ULFA,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
537,MSB/CB/B-13/PLA,Correspondence of PLA,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
538,MSB/CB/B-14/KNA,Kuki National Army,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
539,MSB/CB/B-15,Insurgency in North East India,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
540,MSB/CB/B-16/BOR,Mizoram-Tripura Border Affairs/Manipur Border Affairs,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
541,MSB/CB/B-17/ATTF,All Tripura Tribal Force,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
542,MSB/CB/B-18,Muslim Fundamentalists Organisation in the North East- B-97,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
543,MSB/CB/B-19,Categorisation of Protected Persons in the State of Mizoram and others,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
544,MSB/CB/B-19(A),Security Threat Perception,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
545,MSB/CB/B-20,Working Group on Security,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
546,MSB/CB/B-21/BNU,Bru National Union (BNU),2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
547,MSB/CB/B-26/HPC(D),Correspondence on HPC(D) B-114,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
548,MSB/CB/B-26(B),HPC(D)  Lalhmingthanga Sanate faction,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
549,MSB/CB/B-27/MNMR,Mizo-non-mizo Relation,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
550,MSB/CB/B-30/MDA,Mizoram Defense Army,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
551,MSB/CB/B-32/ZVC,Zoram Vengtu Committee,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
552,MSB/CB/B-34/HPC,HPC activities,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
553,MSB/CB/B-35/MNF,MNF Activities,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
554,MSB/CB/B-38/PLO,Pang Liberation Lushai Organisation,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
555,MSB/CB/B-41/ZC,Zoram Chhantu,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
556,MSB/CB/B-47,Scheme for surrender of militant,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
557,MSB/CB/B-49/BOP,Border Out Post,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
558,MSB/CB/B-50/ZRO,Zomi Re-Unification volunteers,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
559,MSB/CB/B-53/ZORO,Zomi Re-Unification Orgaisation/Zo Reunification Organisation,2025-08-18 01:44:36.819+05:30,2025-08-18 01:44:36.819+05:30
